date,sector,symbol,name,portfolio_status,sector_rank,sector_count,sector_confidence,sector_confidence_note,evidence_warning,final_score,quantitative_score,scoring_model_version,active_axis_weight_pct,data_completeness_count,data_completeness_total,data_completeness_pct,data_completeness_label,news_score,news_label,news_note,trend_score,valuation_score,profitability_score,liquidity_score,income_score,quality_score,quality_metric_count,quality_metric_total,quality_completeness_pct,quarterly_fiscal_period,quarterly_fiscal_end_date,quarterly_available_date,quarterly_date_basis,quarterly_age_days,quarterly_debt_to_equity,quarterly_roe,quarterly_current_ratio,quarterly_revenue_growth,quarterly_net_profit_growth,quarterly_quality_note,volatility_daily_pct,volatility_annualized_pct,volatility_observations,volatility_window,volatility_score,volatility_label,daily_return_pct,period_return_pct,distance_from_52w_high_pct,distance_from_52w_low_pct,market_cap,weekly_avg_volume,price_to_earnings,price_to_book,peg_ratio,eps,net_income_margin,dividend_yield,trend_label,key_reason
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,AGIL,Agriauto Industries Limited,unknown,2,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,73.15,73.15,v3_quarterly_quality,100,6,6,100,complete,,,,67.86,77.78,75,61.9,66.67,90,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,21.59,13.94,1.8,57.36,2242.11,,,,11,30,,unknown,1.91,-1.72,29.48,26.17,5.51B,12.9K,6.18,0.82,0.47,24.75,5.37,1.14,down,strong quality 90 (5/5); -1.72% period return; PE 6.18; EPS 24.75
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,ATBA,Atlas Battery Limited,unknown,8,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,27.13,27.13,v3_quarterly_quality,100,6,6,100,complete,,,,32.14,16.67,25,38.1,33.33,26.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,111.04,0.97,1.41,-5.22,-87.29,,,,11,30,,unknown,-0.4,-3.73,49.86,19.62,7.08B,8.18K,90.4,0.9,439.02,2.24,0.23,0,down,weak quality 26.67 (5/5); -3.73% period return; PE 90.4; EPS 2.24
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,BWHL,Baluchistan Wheels Limited,unknown,1,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,75.27,75.27,v3_quarterly_quality,100,6,6,100,complete,,,,82.14,60,91.67,42.86,83.33,86.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,0.52,16.44,5.6,14.6,29.04,,,,11,30,,unknown,-0.18,2.2,9.48,47.24,3.14B,21.76K,8.03,1.33,0.06,29.35,14.67,7.22,up,strong quality 86.67 (5/5); 2.2% period return; PE 8.03; EPS 29.35
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,EXIDE,Exide Pakistan Limited,unknown,5,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,49.3,49.3,v3_quarterly_quality,100,5,6,83.33,partial,,,,25,63.33,66.67,23.81,50,40,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,79.02,6.07,1.59,-17.83,-29.64,,,,11,30,,unknown,-0.48,-6.15,71.02,33.61,3.79B,8.62K,11.29,0.5,,43.18,1.88,1.03,strong_down,-6.15% period return; PE 11.29; EPS 43.18; margin 1.88%
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,GTYR,Ghandhara Tyre & Rubber Company Limited,unknown,7,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,37.64,37.64,v3_quarterly_quality,100,6,6,100,complete,,,,67.86,55.56,0,52.38,33.33,16.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,77.29,-11.68,0.94,-17.46,-922.34,,,,11,30,,unknown,1.68,-1.88,43.97,49.78,4.07B,474.32K,-5.26,0.64,0.54,-6.34,-4.84,0,down,weak quality 16.67 (5/5); -1.88% period return; PE -5.26; EPS -6.34
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,LOADS,Loads Limited,unknown,6,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,42.11,42.11,v3_quarterly_quality,100,6,6,100,complete,,,,50,34.44,41.67,66.67,33.33,43.33,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,48.84,5.85,0.79,26.53,-67.71,,,,11,30,,unknown,0.59,0.22,65.45,24.98,5.07B,877.32K,12.8,0.97,-0.01,1.07,4.28,0,flat,0.22% period return; PE 12.8; EPS 1.07; margin 4.28%
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,PTL,Panther Tyres Ltd.,unknown,3,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,55.16,55.16,v3_quarterly_quality,100,5,6,83.33,partial,,,,25,42.22,50,61.9,100,46.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,151.8,13.5,1.01,10.89,422.71,,,,11,30,,unknown,-0.98,-4.06,21.15,17.2,9.14B,152.48K,8.5,1.13,,6.4,3.09,7.36,down,-4.06% period return; PE 8.5; EPS 6.4; margin 3.09%
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,SLM,Service Long March Tyres Limited,unknown,4,8,moderate,8 scored members; moderate peer-count confidence,quarterly quality unavailable; volatility history insufficient,51.85,51.85,v3_quarterly_quality,90,0,6,0,low,,,,50,50,50,66.67,50,,0,5,0,,,,,,,,,,,,,,11,30,,unknown,-0.73,0.62,7.94,10.8,189.57B,2.26M,,,,,,,flat,limited data 0/6; 0.62% period return
2026-08-03,CABLE & ELECTRICAL GOODS,EMCO,Emco Industries Limited,unknown,5,5,moderate,5 scored members; moderate peer-count confidence,volatility history insufficient,45.06,45.06,v3_quarterly_quality,100,0,6,0,low,,,,43.75,50,50,25,50,35,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,58.93,2.86,1.42,13.22,272,,,,11,30,,unknown,0.37,-2.2,57.35,63.6,1.79B,6.88K,,,,,,,down,limited data 0/6; -2.2% period return
2026-08-03,CABLE & ELECTRICAL GOODS,FCL,Fast Cables Limited,unknown,4,5,moderate,5 scored members; moderate peer-count confidence,volatility history insufficient,47.5,47.5,v3_quarterly_quality,100,0,6,0,low,,,,50,50,50,50,50,25,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,91.28,9.32,1.32,-3.31,-18.54,,,,11,30,,unknown,0,-0.96,20.3,20.81,15.3B,792.83K,,,,,,,flat,limited data 0/6; weak quality 25 (5/5); -0.96% period return
2026-08-03,CABLE & ELECTRICAL GOODS,PAEL,Pak Elektron Limited,unknown,2,5,moderate,5 scored members; moderate peer-count confidence,volatility history insufficient,69.06,69.06,v3_quarterly_quality,100,6,6,100,complete,,,,43.75,66.67,50,83.33,100,75,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,40.64,8.35,2.04,26.26,57.33,,,,11,30,,unknown,-1.37,1.65,51.93,32.83,39.27B,3.91M,9.53,0.78,0.32,4.46,5.86,0,up,strong quality 75 (5/5); 1.65% period return; PE 9.53; EPS 4.46
2026-08-03,CABLE & ELECTRICAL GOODS,SIEM,Siemens (Pakistan) Engineering,unknown,3,5,moderate,5 scored members; moderate peer-count confidence,volatility history insufficient,48.96,48.96,v3_quarterly_quality,100,6,6,100,complete,,,,37.5,16.67,50,16.67,100,75,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,6.99,4.18,1.84,745.62,146.67,,,,11,30,,unknown,-0.03,-1.17,14.77,13.57,12.5B,273,333.05,2.03,-17.32,4.55,0.48,0,down,strong quality 75 (5/5); -1.17% period return; PE 333.05; EPS 4.55
2026-08-03,CABLE & ELECTRICAL GOODS,WAVES,Waves Corporation Limited,unknown,1,5,moderate,5 scored members; moderate peer-count confidence,volatility history insufficient,69.42,69.42,v3_quarterly_quality,100,6,6,100,complete,,,,75,66.67,50,75,100,40,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,57.46,3.98,1.88,17.59,-55.67,,,,11,30,,unknown,0.46,2.08,56.65,34.91,3.04B,5.8M,10.77,0.31,-2.17,1,5.91,0,up,2.08% period return; PE 10.77; EPS 1; margin 5.91%
2026-08-03,CEMENT,ACPL,Attock Cement Pakistan Limited,unknown,14,16,high,16 scored members; high peer-count confidence,volatility history insufficient,45.42,45.42,v3_quarterly_quality,100,6,6,100,complete,,,,40,19.44,50,24.44,92.86,35.38,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,53.86,12.58,0.79,40.26,8.39,,,,11,30,,unknown,-0.46,3.31,38.94,14.11,32.15B,83.13K,11.15,1.35,0.81,20.97,6.74,3.63,up,3.31% period return; PE 11.15; EPS 20.97; margin 6.74%
2026-08-03,CEMENT,CHCC,Cherat Cement Company Limited,unknown,2,16,high,16 scored members; high peer-count confidence,volatility history insufficient,64.22,64.22,v3_quarterly_quality,100,6,6,100,complete,,,,83.33,34.92,89.29,68.89,64.29,53.85,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,13.51,20.62,2.58,-0.65,-4.23,,,,11,30,,unknown,2.55,6.35,18.48,46.3,63.96B,226.74K,8.68,1.7,0.31,37.91,19.73,1.67,strong_up,6.35% period return; PE 8.68; EPS 37.91; margin 19.73%
2026-08-03,CEMENT,DCL,Dewan Cement Limited,unknown,12,16,high,16 scored members; high peer-count confidence,volatility history insufficient,46.73,46.73,v3_quarterly_quality,100,6,6,100,complete,,,,46.67,83.33,0,55.56,42.86,47.69,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,9.74,-4.7,0.64,13.61,381.93,,,,11,30,,unknown,-1.69,2.03,47.6,67.17,6.01B,2.5M,-4.66,0.24,0.04,-2.37,-4.8,0,up,2.03% period return; PE -4.66; EPS -2.37; margin -4.8%
2026-08-03,CEMENT,DGKC,D.G. Khan Cement Company Limited,unknown,1,16,high,16 scored members; high peer-count confidence,volatility history insufficient,66.57,66.57,v3_quarterly_quality,100,6,6,100,complete,,,,70,67.46,67.86,86.67,57.14,55.38,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,22.26,11.39,1.9,8.28,193.13,,,,11,30,,unknown,0.38,3.83,27.76,48.75,94.56B,6.65M,7.81,0.84,0.27,27.64,14.23,0.93,up,3.83% period return; PE 7.81; EPS 27.64; margin 14.23%
2026-08-03,CEMENT,DNCC,Dandot Cement Company Limited,unknown,16,16,high,16 scored members; high peer-count confidence,quarterly quality unavailable; volatility history insufficient,28.99,28.99,v3_quarterly_quality,90,6,6,100,complete,,,,30,35.71,7.14,26.67,42.86,,0,5,0,,,,,,,,,,,,,,11,30,,unknown,1.65,-5.31,62.35,23.5,5.47B,82.92K,-43.99,2.64,-0.29,-0.39,-1.76,0,strong_down,-5.31% period return; PE -43.99; EPS -0.39; margin -1.76%
2026-08-03,CEMENT,FCCL,Fauji Cement Company Limited,unknown,3,16,high,16 scored members; high peer-count confidence,volatility history insufficient,64.13,64.13,v3_quarterly_quality,100,6,6,100,complete,,,,88.33,50.4,46.43,86.67,78.57,46.15,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,34.61,16.83,1.32,4.34,38.78,,,,11,30,,unknown,0.63,4.45,12.42,54.16,137.11B,6.96M,9.33,1.49,0.08,5.99,16.04,2.24,up,4.45% period return; PE 9.33; EPS 5.99; margin 16.04%
2026-08-03,CEMENT,FECTC,Fecto Cement Limited,unknown,7,16,high,16 scored members; high peer-count confidence,volatility history insufficient,54.72,54.72,v3_quarterly_quality,100,6,6,100,complete,,,,40,73.41,39.29,22.22,71.43,60,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,25.14,16.34,1.75,15.83,31.29,,,,11,30,,unknown,-1.31,2.49,81.99,49.39,5.4B,138.67K,7.68,1.07,-0.06,14,5.6,1.86,up,2.49% period return; PE 7.68; EPS 14; margin 5.6%
2026-08-03,CEMENT,FLYNG,Flying Cement Company Limited,unknown,15,16,high,16 scored members; high peer-count confidence,volatility history insufficient,34.23,34.23,v3_quarterly_quality,100,6,6,100,complete,,,,50,29.76,17.86,22.22,42.86,49.23,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,39.24,7.14,0.31,93.28,1051.28,,,,11,30,,unknown,0.57,2.32,38.48,14.39,30.61B,42.44K,34.1,2.38,0.13,1.29,5.99,0,up,2.32% period return; PE 34.1; EPS 1.29; margin 5.99%
2026-08-03,CEMENT,GWLC,Gharibwal Cement Limited,unknown,6,16,high,16 scored members; high peer-count confidence,volatility history insufficient,54.74,54.74,v3_quarterly_quality,100,6,6,100,complete,,,,31.67,67.06,39.29,22.22,85.71,60,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,3.02,10.17,2.43,9.68,53.9,,,,11,30,,unknown,-0.53,1.07,55.21,29.63,20.11B,184.19K,7.45,0.73,0.49,6.74,12.64,2.99,up,1.07% period return; PE 7.45; EPS 6.74; margin 12.64%
2026-08-03,CEMENT,KOHC,Kohat Cement Company Limited,unknown,13,16,high,16 scored members; high peer-count confidence,volatility history insufficient,46.09,46.09,v3_quarterly_quality,100,6,6,100,complete,,,,28.33,28.97,75,53.33,42.86,56.92,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,9.07,18.8,3.34,0.34,-15.84,,,,11,30,,unknown,-0.43,0.82,479.11,32.54,90.17B,399.86K,9.23,1.63,0.33,10.62,25.96,0,flat,0.82% period return; PE 9.23; EPS 10.62; margin 25.96%
2026-08-03,CEMENT,LUCK,Lucky Cement Limited,unknown,5,16,high,16 scored members; high peer-count confidence,volatility history insufficient,59.75,59.75,v3_quarterly_quality,100,6,6,100,complete,,,,48.33,51.19,85.71,73.33,50,52.31,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,47.39,21.57,1.81,12.95,12.54,,,,11,30,,unknown,-0.2,0.77,17.91,32.47,657.9B,1.96M,7.9,1.63,0.16,56.88,16.86,0.89,flat,0.77% period return; PE 7.9; EPS 56.88; margin 16.86%
2026-08-03,CEMENT,MLCF,Maple Leaf Cement Factory Limited,unknown,8,16,high,16 scored members; high peer-count confidence,volatility history insufficient,53.69,53.69,v3_quarterly_quality,100,6,6,100,complete,,,,45,57.54,53.57,91.11,42.86,41.54,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,42.57,14.75,1.51,10.63,22.41,,,,11,30,,unknown,-1.57,2.04,36.47,37.25,102.08B,17.44M,8.59,1.23,0.21,11.34,13.96,0,up,2.04% period return; PE 8.59; EPS 11.34; margin 13.96%
2026-08-03,CEMENT,PIOC,Pioneer Cement Limited,unknown,4,16,high,16 scored members; high peer-count confidence,volatility history insufficient,60.97,60.97,v3_quarterly_quality,100,6,6,100,complete,,,,33.33,44.05,82.14,42.22,100,43.08,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,15.05,11.35,1.02,13.71,8.44,,,,11,30,,unknown,-0.01,-2.51,56.6,36.48,62.01B,299.92K,9.4,1.25,0.15,29.03,17.09,3.66,down,-2.51% period return; PE 9.4; EPS 29.03; margin 17.09%
2026-08-03,CEMENT,POWER,Power Cement Limited,unknown,11,16,high,16 scored members; high peer-count confidence,volatility history insufficient,46.92,46.92,v3_quarterly_quality,100,6,6,100,complete,,,,70,54.37,28.57,57.78,42.86,27.69,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,72.89,12.51,0.88,25.81,-356.85,,,,11,30,,unknown,1.51,0.1,16.58,51.35,26.86B,1.2M,9.29,1.14,0.15,2.24,8.78,0,flat,weak quality 27.69 (5/5); 0.1% period return; PE 9.29; EPS 2.24
2026-08-03,CEMENT,SMCPL,Safe Mix Concrete Limited,unknown,10,16,high,16 scored members; high peer-count confidence,quarterly quality unavailable; volatility history insufficient,48.36,48.36,v3_quarterly_quality,90,0,6,0,low,,,,61.67,50,50,17.78,50,,0,5,0,,,,,,,,,,,,,,11,30,,unknown,0.43,-1.67,37.18,74.11,1.04B,5.2K,,,,,,,down,limited data 0/6; -1.67% period return
2026-08-03,CEMENT,THCCL,Thatta Cement Company Limited,unknown,9,16,high,16 scored members; high peer-count confidence,volatility history insufficient,52.91,52.91,v3_quarterly_quality,100,6,6,100,complete,,,,33.33,47.22,67.86,68.89,42.86,70.77,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,39.37,34.04,1.6,47.62,55.01,,,,11,30,,unknown,-0.64,-3.06,57.87,54.19,32.69B,4.28M,9.06,3.21,0.05,7.24,24.4,0,down,strong quality 70.77 (5/5); -3.06% period return; PE 9.06; EPS 7.24
2026-08-03,CHEMICAL,ARPL,Archroma Pakistan Limited,unknown,7,20,high,20 scored members; high peer-count confidence,volatility history insufficient,55.16,55.16,v3_quarterly_quality,100,6,6,100,complete,,,,65.79,17.95,63.33,52.63,86.67,55.38,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,79.26,28.64,1.21,10.6,511.57,,,,11,30,,unknown,1.22,11.88,15.26,30.81,14.69B,51.57K,9.15,2.72,63.31,46.47,5.66,7.06,strong_up,11.88% period return; PE 9.15; EPS 46.47; margin 5.66%
2026-08-03,CHEMICAL,BERG,Berger Paints Pakistan Limited,unknown,8,20,high,20 scored members; high peer-count confidence,volatility history insufficient,55.13,55.13,v3_quarterly_quality,100,5,6,83.33,partial,,,,57.89,73.08,36.67,56.14,60,32.31,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,41.36,8.09,1.43,1.37,2.01,,,,11,30,,unknown,1.54,5.29,32.37,32.08,2.62B,140.06K,8.56,0.69,,12.44,3.37,4.69,strong_up,5.29% period return; PE 8.56; EPS 12.44; margin 3.37%
