date,sector,symbol,name,portfolio_status,sector_rank,sector_count,sector_confidence,sector_confidence_note,evidence_warning,final_score,quantitative_score,scoring_model_version,active_axis_weight_pct,data_completeness_count,data_completeness_total,data_completeness_pct,data_completeness_label,news_score,news_label,news_note,trend_score,valuation_score,profitability_score,liquidity_score,income_score,quality_score,quality_metric_count,quality_metric_total,quality_completeness_pct,quarterly_fiscal_period,quarterly_fiscal_end_date,quarterly_available_date,quarterly_date_basis,quarterly_age_days,quarterly_debt_to_equity,quarterly_roe,quarterly_current_ratio,quarterly_revenue_growth,quarterly_net_profit_growth,quarterly_quality_note,volatility_daily_pct,volatility_annualized_pct,volatility_observations,volatility_window,volatility_score,volatility_label,daily_return_pct,period_return_pct,distance_from_52w_high_pct,distance_from_52w_low_pct,market_cap,weekly_avg_volume,price_to_earnings,price_to_book,peg_ratio,eps,net_income_margin,dividend_yield,trend_label,key_reason
2026-07-18,AUTOMOBILE PARTS & ACCESSORIES,AGIL,Agriauto Industries Limited,,2,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,74.28,74.28,v3_quarterly_quality,100,6,6,100,complete,,,,78.57,77.78,75,57.14,66.67,90,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,21.59,13.94,1.8,57.36,2242.11,,,,0,30,,unknown,-0.03,-0.03,27.25,28.38,5.6B,6.71K,6.29,0.83,0.48,24.75,5.37,1.12,flat,strong quality 90 (5/5); -0.03% period return; PE 6.29; EPS 24.75
2026-07-18,AUTOMOBILE PARTS & ACCESSORIES,ATBA,Atlas Battery Limited,,8,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,28.08,28.08,v3_quarterly_quality,100,6,6,100,complete,,,,32.14,16.67,25,47.62,33.33,26.67,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,111.04,0.97,1.41,-5.22,-87.29,,,,0,30,,unknown,-1.85,-1.85,48.54,24.26,7.35B,11.53K,82.63,0.93,463.54,2.24,0.23,0,down,weak quality 26.67 (5/5); -1.85% period return; PE 82.63; EPS 2.24
2026-07-18,AUTOMOBILE PARTS & ACCESSORIES,BWHL,Baluchistan Wheels Limited,,1,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,78.61,78.61,v3_quarterly_quality,100,6,6,100,complete,,,,82.14,60,91.67,42.86,100,86.67,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,0.52,16.44,5.6,14.6,29.04,,,,0,30,,unknown,-0.83,-0.83,11.89,56.81,3.07B,21.1K,7.85,1.3,0.06,29.35,14.67,7.38,flat,strong quality 86.67 (5/5); -0.83% period return; PE 7.85; EPS 29.35
2026-07-18,AUTOMOBILE PARTS & ACCESSORIES,EXIDE,Exide Pakistan Limited,,4,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,54.18,54.18,v3_quarterly_quality,100,5,6,83.33,partial,,,,60.71,63.33,66.67,19.05,50,40,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,79.02,6.07,1.59,-17.83,-29.64,,,,0,30,,unknown,-0.34,-0.34,73.19,42.37,4.04B,4.77K,9.36,0.54,,55.53,2.2,0.96,flat,-0.34% period return; PE 9.36; EPS 55.53; margin 2.2%
2026-07-18,AUTOMOBILE PARTS & ACCESSORIES,GTYR,Ghandhara Tyre & Rubber Company Limited,,7,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,32.76,32.76,v3_quarterly_quality,100,6,6,100,complete,,,,32.14,55.56,0,57.14,33.33,16.67,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,77.29,-11.68,0.94,-17.46,-922.34,,,,0,30,,unknown,-3.88,-3.88,45.56,52.65,4.14B,4.61M,-5.36,0.65,0.58,-6.34,-4.84,0,down,weak quality 16.67 (5/5); -3.88% period return; PE -5.36; EPS -6.34
2026-07-18,AUTOMOBILE PARTS & ACCESSORIES,LOADS,Loads Limited,,6,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,36.34,36.34,v3_quarterly_quality,100,6,6,100,complete,,,,17.86,34.44,41.67,57.14,33.33,43.33,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,48.84,5.85,0.79,26.53,-67.71,,,,0,30,,unknown,-2.36,-2.36,65.81,24.7,5.06B,1.42M,12.77,0.97,-0.01,1.07,4.28,0,down,-2.36% period return; PE 12.77; EPS 1.07; margin 4.28%
2026-07-18,AUTOMOBILE PARTS & ACCESSORIES,PTL,Panther Tyres Ltd.,,3,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,54.98,54.98,v3_quarterly_quality,100,5,6,83.33,partial,,,,42.86,42.22,50,66.67,83.33,46.67,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,151.8,13.5,1.01,10.89,422.71,,,,0,30,,unknown,-2.28,-2.28,16.23,25.62,9.52B,2.28M,8.86,1.18,,6.4,3.09,7.06,down,-2.28% period return; PE 8.86; EPS 6.4; margin 3.09%
2026-07-18,AUTOMOBILE PARTS & ACCESSORIES,SLM,Service Long March Tyres Limited,,5,8,moderate,8 scored members; moderate peer-count confidence,quarterly quality unavailable; volatility history insufficient,52.45,52.45,v3_quarterly_quality,90,0,6,0,low,,,,53.57,50,50,66.67,50,,0,5,0,,,,,,,,,,,,,,0,30,,unknown,-1.27,-1.27,8.61,10.11,188.4B,5.56M,,,,,,,down,limited data 0/6; -1.27% period return
2026-07-18,CABLE & ELECTRICAL GOODS,EMCO,Emco Industries Limited,,5,5,moderate,5 scored members; moderate peer-count confidence,volatility history insufficient,42.25,42.25,v3_quarterly_quality,100,0,6,0,low,,,,25,50,50,25,50,35,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,58.93,2.86,1.42,13.22,272,,,,0,30,,unknown,-4.31,-4.31,88.94,67.27,1.83B,124.02K,,,,,,,down,limited data 0/6; -4.31% period return
2026-07-18,CABLE & ELECTRICAL GOODS,FCL,Fast Cables Limited,,4,5,moderate,5 scored members; moderate peer-count confidence,volatility history insufficient,49.38,49.38,v3_quarterly_quality,100,0,6,0,low,,,,62.5,50,50,50,50,25,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,91.28,9.32,1.32,-3.31,-18.54,,,,0,30,,unknown,0.5,0.5,19.15,21.98,15.45B,772.06K,,,,,,,flat,limited data 0/6; weak quality 25 (5/5); 0.5% period return
2026-07-18,CABLE & ELECTRICAL GOODS,PAEL,Pak Elektron Limited,,1,5,moderate,5 scored members; moderate peer-count confidence,volatility history insufficient,68.96,68.96,v3_quarterly_quality,100,6,6,100,complete,,,,37.5,66.67,50,91.67,100,75,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,40.64,8.35,2.04,26.26,57.33,,,,0,30,,unknown,-0.4,-0.4,54.43,30.68,38.64B,6.93M,9.38,0.77,0.32,4.46,5.86,0,flat,strong quality 75 (5/5); -0.4% period return; PE 9.38; EPS 4.46
2026-07-18,CABLE & ELECTRICAL GOODS,SIEM,Siemens (Pakistan) Engineering,,3,5,moderate,5 scored members; moderate peer-count confidence,volatility history insufficient,54.58,54.58,v3_quarterly_quality,100,6,6,100,complete,,,,75,16.67,50,16.67,100,75,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,6.99,4.18,1.84,745.62,146.67,,,,0,30,,unknown,1.1,1.1,13.43,14.91,12.65B,30.4,48.9,2.04,-2.52,31.37,2.85,0,up,strong quality 75 (5/5); 1.1% period return; PE 48.9; EPS 31.37
2026-07-18,CABLE & ELECTRICAL GOODS,WAVES,Waves Corporation Limited,,2,5,moderate,5 scored members; moderate peer-count confidence,volatility history insufficient,64.83,64.83,v3_quarterly_quality,100,6,6,100,complete,,,,50,66.67,50,66.67,100,40,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,57.46,3.98,1.88,17.59,-55.67,,,,0,30,,unknown,-0.38,-0.38,59.91,32.17,2.98B,1.53M,10.55,0.3,-2.17,1,5.91,0,flat,-0.38% period return; PE 10.55; EPS 1; margin 5.91%
2026-07-18,CEMENT,ACPL,Attock Cement Pakistan Limited,,10,16,high,16 scored members; high peer-count confidence,volatility history insufficient,51.17,51.17,v3_quarterly_quality,100,6,6,100,complete,,,,56.67,26.74,50,24.44,100,35.38,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,53.86,12.58,0.79,40.26,8.39,,,,0,30,,unknown,-0.25,-0.25,43.54,10.45,31.12B,80.95K,10.8,1.3,0.78,20.97,6.74,3.75,flat,-0.25% period return; PE 10.8; EPS 20.97; margin 6.74%
2026-07-18,CEMENT,CHCC,Cherat Cement Company Limited,,4,16,high,16 scored members; high peer-count confidence,volatility history insufficient,60.84,60.84,v3_quarterly_quality,100,6,6,100,complete,,,,48.33,43.32,89.29,66.67,64.29,53.85,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,13.51,20.62,2.58,-0.65,-4.23,,,,0,30,,unknown,-2.05,-2.05,26,37.57,60.14B,271.79K,8.17,1.6,0.31,37.91,19.73,1.78,down,-2.05% period return; PE 8.17; EPS 37.91; margin 19.73%
2026-07-18,CEMENT,DCL,Dewan Cement Limited,,11,16,high,16 scored members; high peer-count confidence,volatility history insufficient,50.73,50.73,v3_quarterly_quality,100,6,6,100,complete,,,,73.33,83.33,0,55.56,42.86,47.69,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,9.74,-4.7,0.64,13.61,381.93,,,,0,30,,unknown,-0.82,-0.82,50.6,63.84,5.89B,3.16M,-4.57,0.24,0.04,-2.37,-4.8,0,flat,-0.82% period return; PE -4.57; EPS -2.37; margin -4.8%
2026-07-18,CEMENT,DGKC,D.G. Khan Cement Company Limited,,2,16,high,16 scored members; high peer-count confidence,volatility history insufficient,62.95,62.95,v3_quarterly_quality,100,6,6,100,complete,,,,46.67,67.89,67.86,84.44,57.14,55.38,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,22.26,11.39,1.9,8.28,193.13,,,,0,30,,unknown,-2.86,-2.86,32.66,43.26,91.07B,5.1M,7.52,0.81,0.26,27.64,14.23,0.96,down,-2.86% period return; PE 7.52; EPS 27.64; margin 14.23%
2026-07-18,CEMENT,DNCC,Dandot Cement Company Limited,,16,16,high,16 scored members; high peer-count confidence,quarterly quality unavailable; volatility history insufficient,28.81,28.81,v3_quarterly_quality,90,6,6,100,complete,,,,56.67,19.05,7.14,26.67,42.86,,0,5,0,,,,,,,,,,,,,,0,30,,unknown,0.33,0.33,53.72,30.43,5.78B,39.52K,92.25,2.79,-0.32,-0.39,-1.76,0,flat,0.33% period return; PE 92.25; EPS -0.39; margin -1.76%
2026-07-18,CEMENT,FCCL,Fauji Cement Company Limited,,1,16,high,16 scored members; high peer-count confidence,volatility history insufficient,63.25,63.25,v3_quarterly_quality,100,6,6,100,complete,,,,61.67,60.01,50,86.67,78.57,46.15,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,34.61,16.83,1.32,4.34,38.78,,,,0,30,,unknown,-1.8,-1.8,17.41,47.6,131.28B,7.46M,8.93,1.43,0.08,5.99,16.04,2.34,down,-1.8% period return; PE 8.93; EPS 5.99; margin 16.04%
2026-07-18,CEMENT,FECTC,Fecto Cement Limited,,8,16,high,16 scored members; high peer-count confidence,volatility history insufficient,52.02,52.02,v3_quarterly_quality,100,6,6,100,complete,,,,21.67,73.63,39.29,22.22,71.43,60,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,25.14,16.34,1.75,15.83,31.29,,,,0,30,,unknown,-3.67,-3.67,86.52,45.76,5.26B,150.34K,7.5,1.04,-0.06,14,5.6,1.91,down,-3.67% period return; PE 7.5; EPS 14; margin 5.6%
2026-07-18,CEMENT,FLYNG,Flying Cement Company Limited,,15,16,high,16 scored members; high peer-count confidence,volatility history insufficient,29.37,29.37,v3_quarterly_quality,100,6,6,100,complete,,,,13.33,32.33,17.86,22.22,42.86,49.23,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,39.24,7.14,0.31,93.28,1051.28,,,,0,30,,unknown,-6.29,-6.29,41.7,9.82,29.91B,27.94K,33.33,2.32,0.13,1.29,5.99,0,strong_down,-6.29% period return; PE 33.33; EPS 1.29; margin 5.99%
2026-07-18,CEMENT,GWLC,Gharibwal Cement Limited,,7,16,high,16 scored members; high peer-count confidence,volatility history insufficient,56.49,56.49,v3_quarterly_quality,100,6,6,100,complete,,,,43.33,67.06,39.29,22.22,85.71,60,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,3.02,10.17,2.43,9.68,53.9,,,,0,30,,unknown,-1.55,-1.55,56.86,28.26,19.89B,150.45K,5.92,0.73,0.5,6.74,12.64,3.02,down,-1.55% period return; PE 5.92; EPS 6.74; margin 12.64%
2026-07-18,CEMENT,KOHC,Kohat Cement Company Limited,,14,16,high,16 scored members; high peer-count confidence,volatility history insufficient,43.87,43.87,v3_quarterly_quality,100,6,6,100,complete,,,,15,28.08,75,53.33,42.86,56.92,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,9.07,18.8,3.34,0.34,-15.84,,,,0,30,,unknown,-3.2,-3.2,483.87,31.46,89.43B,554.06K,9.16,1.62,0.33,10.62,25.96,0,down,-3.2% period return; PE 9.16; EPS 10.62; margin 25.96%
2026-07-18,CEMENT,LUCK,Lucky Cement Limited,,3,16,high,16 scored members; high peer-count confidence,volatility history insufficient,62.73,62.73,v3_quarterly_quality,100,6,6,100,complete,,,,61.67,52.23,89.29,73.33,50,52.31,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,47.39,21.57,1.81,12.95,12.54,,,,0,30,,unknown,-1.63,-1.63,18.82,31.45,652.85B,1.6M,7.83,1.62,0.16,56.88,16.86,0.9,down,-1.63% period return; PE 7.83; EPS 56.88; margin 16.86%
2026-07-18,CEMENT,MLCF,Maple Leaf Cement Factory Limited,,9,16,high,16 scored members; high peer-count confidence,volatility history insufficient,52,52,v3_quarterly_quality,100,6,6,100,complete,,,,35,51.07,60.71,91.11,42.86,41.54,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,42.57,14.75,1.51,10.63,22.41,,,,0,30,,unknown,-2.95,-2.95,39.26,34.51,100.04B,14.57M,8.89,1.33,0.22,10.74,15.15,0,down,-2.95% period return; PE 8.89; EPS 10.74; margin 15.15%
2026-07-18,CEMENT,PIOC,Pioneer Cement Limited,,5,16,high,16 scored members; high peer-count confidence,volatility history insufficient,58.95,58.95,v3_quarterly_quality,100,6,6,100,complete,,,,48.33,43.22,67.86,44.44,92.86,43.08,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,15.05,11.35,1.02,13.71,8.44,,,,0,30,,unknown,-1.75,-1.75,52.67,40,63.6B,524.17K,11.51,1.26,0.18,24.32,14.8,3.57,down,-1.75% period return; PE 11.51; EPS 24.32; margin 14.8%
2026-07-18,CEMENT,POWER,Power Cement Limited,,13,16,high,16 scored members; high peer-count confidence,volatility history insufficient,48.8,48.8,v3_quarterly_quality,100,6,6,100,complete,,,,75,58.85,28.57,57.78,42.86,27.69,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,72.89,12.51,0.88,25.81,-356.85,,,,0,30,,unknown,-1.7,-1.7,16.69,52.31,26.83B,1.06M,9.28,1.14,0.15,2.24,8.78,0,down,weak quality 27.69 (5/5); -1.7% period return; PE 9.28; EPS 2.24
2026-07-18,CEMENT,SMCPL,Safe Mix Concrete Limited,,12,16,high,16 scored members; high peer-count confidence,quarterly quality unavailable; volatility history insufficient,48.92,48.92,v3_quarterly_quality,90,0,6,0,low,,,,65,50,50,17.78,50,,0,5,0,,,,,,,,,,,,,,0,30,,unknown,-1.78,-1.78,34.89,80.61,1.06B,23.68K,,,,,,,down,limited data 0/6; -1.78% period return
2026-07-18,CEMENT,THCCL,Thatta Cement Company Limited,,6,16,high,16 scored members; high peer-count confidence,volatility history insufficient,58.28,58.28,v3_quarterly_quality,100,6,6,100,complete,,,,78.33,40.81,67.86,71.11,42.86,70.77,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,39.37,34.04,1.6,47.62,55.01,,,,0,30,,unknown,0.94,0.94,53.04,59.05,33.72B,6.48M,9.34,3.31,0.05,7.24,24.4,0,flat,strong quality 70.77 (5/5); 0.94% period return; PE 9.34; EPS 7.24
2026-07-18,CHEMICAL,ARPL,Archroma Pakistan Limited,,10,20,high,20 scored members; high peer-count confidence,volatility history insufficient,52.57,52.57,v3_quarterly_quality,100,6,6,100,complete,,,,51.32,20.51,63.33,42.11,86.67,55.38,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,79.26,28.64,1.21,10.6,511.57,,,,0,30,,unknown,-0.27,-0.27,40.79,16.92,13.13B,6.5K,9.95,2.71,4.74,38.21,4.75,7.89,flat,-0.27% period return; PE 9.95; EPS 38.21; margin 4.75%
2026-07-18,CHEMICAL,BERG,Berger Paints Pakistan Limited,,7,20,high,20 scored members; high peer-count confidence,volatility history insufficient,55.33,55.33,v3_quarterly_quality,100,5,6,83.33,partial,,,,38.16,73.08,40,54.39,73.33,32.31,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,41.36,8.09,1.43,1.37,2.01,,,,0,30,,unknown,-1.8,-1.8,39.37,25.44,2.48B,136.41K,8.13,0.65,,12.44,3.37,4.94,down,-1.8% period return; PE 8.13; EPS 12.44; margin 3.37%
2026-07-18,CHEMICAL,BIFO,Biafo Industries Limited,,6,20,high,20 scored members; high peer-count confidence,volatility history insufficient,56.02,56.02,v3_quarterly_quality,100,6,6,100,complete,,,,48.68,32.18,60,54.39,80,72.31,5,5,100,Mar-26,2026-03-31,,user_approved_snapshot_backfill,109,15.55,13.32,2.17,36.64,152.6,,,,0,30,,unknown,-1.11,-1.11,71.65,52.53,5.6B,90.29K,12.82,1.72,0.6,9.41,12.78,6.22,down,strong quality 72.31 (5/5); -1.11% period return; PE 12.82; EPS 9.41
