sector,name,date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
TEXTILE SPINNING,Ideal Dynamics Limited,2026-07-18,IDEAL,54.65,54.75,60.5,54.65,87.7,15.75,543.12M,9.92M,1.49M,14.22K,15,,,,,,
TEXTILE SPINNING,Idrees Textile Mills Limited,2026-07-18,IDRT,39.65,36.46,40.12,34.6,68.08,19,723.83M,19.85M,1.99M,25.37K,10,,,,,,
TEXTILE COMPOSITE,Interloop Limited,2026-07-18,ILP,103.15,100.13,103.75,99.3,110.5,67,140.35B,1.4B,280.34M,1.16M,20,3,8.3,6.45,2.3,12.07,0.2
APPAREL,Image Pakistan Limited,2026-07-18,IMAGE,26.79,26.6,27.4,26.39,32.46,19,6.13B,230.37M,149.74M,742.36K,65,7.52,3.49,17.93,1.26,7.61,
ENGINEERING,International Industries Limited,2026-07-18,INIL,172,168.41,174.49,168.05,249,127.3,22.21B,131.88M,59.35M,162.13K,45,3.56,14.32,1.72,0.68,11.76,-3.78
APPAREL,International Knitwear Limited,2026-07-18,INKL,92.79,90.72,94.99,87,126,30.15,877.72M,9.68M,3.87M,2.05K,40,,,,,,
"PAPER, BOARD & PACKAGING",International Packaging Films Limited,2026-07-18,IPAK,36.4,35.7,36.65,35.7,38,21.02,26.25B,735.21M,220.56M,436.15K,30,2.61,3.81,7.22,2.05,6.57,
REAL ESTATE INVESTMENT TRUST,Image Reit,2026-07-18,IREIT,8.1,8.08,8.26,8.01,13.05,7.26,2.23B,275.86M,96.55M,522.35K,35,,,,,,
FOOD & PERSONAL CARE PRODUCTS,Ismail Industries Limited,2026-07-18,ISIL,1956.9,1936.95,1980,1905,2370,1725.01,128.53B,66.36M,3.32M,341,5,0.26,62.5,3.31,4.64,30.99,0.47
ENGINEERING,International Steels Limited,2026-07-18,ISL,86,83.26,86.02,81.9,135,65.45,36.22B,435M,152.25M,347.27K,35,5.4,6.93,3.59,1.42,12.01,-2.92
TECHNOLOGY & COMMUNICATION,Itanz Technologies Limited,2026-07-18,ITANZ,41.5,42.58,43.5,41.3,43.5,41.3,4.59B,107.82M,48.52M,2.13M,45,,,,,,
ENGINEERING,Ittefaq Iron Industries Limited,2026-07-18,ITTEFAQ,9.3,9.13,9.47,9.08,12.64,5.75,1.32B,144.34M,93.82M,11.31M,65,0,-3.91,-27.88,0.45,-2.34,
TEXTILE SPINNING,J.A. Textile Mills Limited,2026-07-18,JATM,37.44,36.42,38.01,34.6,49.08,14.61,458.94M,12.6M,1.89M,18.72K,15,,,,,,
TEXTILE SPINNING,Janana De Malucho Textile Mills Limited,2026-07-18,JDMT,137.02,141.07,143.86,134.11,175,60.1,975.62M,6.92M,2.07M,75.31K,30,,,,,,
SUGAR & ALLIED INDUSTRIES,JDW Sugar Mills Limited,2026-07-18,JDWS,955,951.94,956.98,916.02,1026,780,55B,57.78M,8.67M,182.4,15,5.25,172.77,7.74,1.41,5.51,0.13
SUGAR & ALLIED INDUSTRIES,Jauharabad Sugar Mills Limited,2026-07-18,JSML,64.4,62.84,64.4,62.4,147.5,40.61,2.14B,34.13M,13.65M,92.5K,40,0,5.89,1.94,0.23,10.66,0.34
PROPERTY,Javedan Corporation Limited,2026-07-18,JVDC,145.1,144.68,147,143.5,163.9,65.15,55.1B,380.86M,190.43M,955.94K,50,7.77,10.67,38.34,1.99,9.51,-0.01
GLASS & CERAMICS,Karam Ceramics Limited,2026-07-18,KCL,152.33,141.37,160,137.11,195.69,115.02,2.06B,14.55M,10.91M,308.4,75,,,,,,
POWER GENERATION & DISTRIBUTION,K-Electric Limited,2026-07-18,KEL,7.51,7.35,7.59,7.32,9.58,4.91,202.97B,27.62B,2.76B,31.55M,10,0,0.42,2.19,1.76,10.6,
TEXTILE COMPOSITE,Khyber Textile Mills Limited,2026-07-18,KHYT,2159.95,2199.38,2249.95,2000,2689,1131.01,2.7B,1.23M,20.67K,387.6,1.68,,,,,,
CEMENT,Kohat Cement Company Limited,2026-07-18,KOHC,100.5,97.28,100.6,96.5,567.99,74,89.43B,919.31M,229.83M,554.06K,25,0,10.62,25.96,1.62,9.16,0.33
POWER GENERATION & DISTRIBUTION,Kohinoor Energy Limited,2026-07-18,KOHE,15.6,15.56,15.82,15.53,23.49,12.33,2.64B,169.46M,67.78M,94.05K,40,0,3.94,15.83,0.58,3.95,-0.38
TEXTILE SPINNING,Kohat Textile Mills Limited,2026-07-18,KOHTM,138,135.4,141,135.1,210,40,2.82B,20.8M,6.24M,179.2K,30,1.48,14.85,3.65,0.58,3.17,0.23
SUGAR & ALLIED INDUSTRIES,Khairpur Sugar Mills Limited,2026-07-18,KPUS,2060,1871.47,2060,1871.47,2849.99,115.11,29.98B,16.02M,800.88K,13.87K,5,0,5.5,1.09,7.55,340.27,11.01
ENGINEERING,KSB Pumps Company Limited,2026-07-18,KSBP,244,242.91,245.7,240,257,155.2,7.51B,30.9M,8.37M,295.64K,27.08,0.41,7.14,3.26,1.76,34.02,3.52
TEXTILE COMPOSITE,Kohinoor Textile Mills Limited,2026-07-18,KTML,48.37,46.81,50.49,46.01,305,37.02,63.03B,1.35B,269.3M,1.33M,20,0.85,7.94,8.01,0.78,5.11,0.19
CHEMICAL,Lucky Core Industries Limited,2026-07-18,LCI,235,231.96,235.98,231.6,396,201.17,107.12B,461.8M,92.36M,73.19K,20,4.93,20.25,8.25,1.91,11.48,0.56
LEATHER & TANNERIES,Leather Up Limited,2026-07-18,LEUL,44.99,41.8,44.99,41.7,72.68,25.76,250.8M,6M,1.8M,22.54K,30,,,,,,
PHARMACEUTICALS,Liven Pharma Limited,2026-07-18,LIVEN,36.99,36.65,37.43,36.55,79.8,27.82,4.14B,113.04M,11.3M,36.03K,10,,,,,,
AUTOMOBILE PARTS & ACCESSORIES,Loads Limited,2026-07-18,LOADS,13.96,13.63,13.96,13.6,22.6,10.93,5.06B,371.25M,185.62M,1.42M,50,0,1.07,4.28,0.97,12.77,-0.01
CHEMICAL,Lotte Chemical Pakistan Limited,2026-07-18,LOTCHEM,30.48,29.11,30.5,28.97,34.3,18.41,44.08B,1.51B,378.55M,30.73M,25,17.18,1.28,2.41,2.53,22.82,-9.53
CHEMICAL,Leiner Pak Gelatine Limited,2026-07-18,LPGL,94.99,92.28,94.99,92,138.5,63.01,692.1M,7.5M,1.88M,5.43K,25,,,,,,
CEMENT,Lucky Cement Limited,2026-07-18,LUCK,453,445.63,456.49,444.14,529.5,339,652.85B,1.47B,439.5M,1.6M,30,0.9,56.88,16.86,1.62,7.83,0.16
"PAPER, BOARD & PACKAGING",MACPAC Films Limited,2026-07-18,MACFL,66.98,67.23,69.5,64.16,86.98,19.52,3.99B,59.3M,23.72M,1.56M,40,0.74,2.13,1.96,1.71,31.54,7.31
PHARMACEUTICALS,Macter International Limited,2026-07-18,MACTER,277.7,282.65,297,277.52,443.5,255.1,12.95B,45.81M,18.32M,19.78K,40,1.34,17.8,6.82,3.21,15.88,0.29
OIL & GAS EXPLORATION COMPANIES,Mari Energies Limited,2026-07-18,MARI,661.47,653.01,662.89,651.5,795,544.56,784.02B,1.2B,240.12M,659.87K,20,4.59,57.11,37.45,2.75,11.43,0.49
COMMERCIAL BANKS,Meezan Bank Limited,2026-07-18,MEBL,547,540.94,552.05,539.4,582,349.89,973.99B,1.8B,450.14M,1.11M,25,5.27,50.58,19.77,3.43,10.69,
TEXTILE COMPOSITE,Mehmood Textile Mills Limited,2026-07-18,MEHT,196,195.55,200,195,389,190,5.87B,30M,19.5M,24.61K,65,0,39.74,1.87,0.31,5.65,0.12
"PAPER, BOARD & PACKAGING",Merit Packaging Limited,2026-07-18,MERIT,9.95,9.78,10,9.76,14.69,7.1,1.96B,199.96M,39.99M,182.39K,20,0,-1.75,-10.52,0.83,-5.59,0.01
FOOD & PERSONAL CARE PRODUCTS,Mitchells Fruit Farms Limited,2026-07-18,MFFL,174.99,173.34,174.99,172,237,139.66,3.97B,22.88M,3.85M,2.98K,16.82,,,,,,
FOOD & PERSONAL CARE PRODUCTS,Matco Foods Limited,2026-07-18,MFL,43.18,42.18,43.18,41.5,85.73,39.1,5.16B,122.4M,42.84M,398.65K,35,0,4.13,1.98,0.48,10.2,0.21
SUGAR & ALLIED INDUSTRIES,Mirpurkhas Sugar Mills Limited,2026-07-18,MIRKS,37.4,35.52,37.4,35.2,44.5,22.28,2.36B,66.56M,29.95M,67.09K,45,0,0.03,0.01,0.98,887.59,19.69
CEMENT,Maple Leaf Cement Factory Limited,2026-07-18,MLCF,98.4,95.5,98.7,95,132.99,71,100.04B,1.05B,471.4M,14.57M,45,0,10.74,15.15,1.33,8.89,0.22
TEXTILE SPINNING,Maqbool Textile Mills Limited,2026-07-18,MQTM,35,37.14,37.27,30.6,49,17.97,684.56M,18.43M,4.61M,190.81K,25,0,-79.43,-17.35,2.16,-0.47,0.01
SUGAR & ALLIED INDUSTRIES,Mehran Sugar Mills Limited,2026-07-18,MRNS,64.89,63.4,65.4,63.1,94.01,52.32,4.75B,74.93M,26.22M,39.21K,35,11.22,22.15,14.35,1.02,2.61,
ENGINEERING,Metropolitan Steel Corporation Limited,2026-07-18,MSCL,24,24.05,25,24,46.53,12.05,745.01M,30.98M,7.74M,178.44K,25,,,,,,
AUTOMOBILE ASSEMBLER,Millat Tractors Limited,2026-07-18,MTL,290.47,290.29,295,286.9,636.99,284.51,115.83B,399.03M,179.56M,265.13K,45,7.03,18.49,12.64,14.98,13.47,0.91
ENGINEERING,Mughal Iron & Steel Industries Limited,2026-07-18,MUGHAL,83.29,82.15,83.88,81.78,113.99,59,27.57B,335.63M,117.47M,919.55K,35,0,6.37,2.8,0.91,12.89,0.89
MISCELLANEOUS,Mandviwala Mauser Plastic Industries,2026-07-18,MWMP,64,62.49,64.99,60,170.95,27.97,1.8B,28.75M,7.19M,36.01K,25,,,,,,
TEXTILE SPINNING,Nadeem Textile Mills Limited,2026-07-18,NATM,77,85.16,77,77,92.94,77,1.81B,21.27M,1.06M,1,5,0,-53.59,-51.27,0.83,-1.59,0.05
FOOD & PERSONAL CARE PRODUCTS,Nestle Pakistan Limited,2026-07-18,NESTLE,7620,7617.23,7690,7426.26,10524.97,7000,345.44B,45.35M,4.53M,288.6,10,7.31,393.76,8.81,12.85,19.34,1.29
TECHNOLOGY & COMMUNICATION,NetSol Technologies Limited,2026-07-18,NETSOL,123.31,121.06,124.89,120.75,164.59,87.66,10.88B,89.84M,26.95M,347.8K,30,0,32.29,21.96,0.86,3.75,0.09
TEXTILE COMPOSITE,Nishat Mills Limited,2026-07-18,NML,148.67,144.43,148.79,143.56,208.4,120,50.78B,351.6M,158.22M,1.95M,45,1.59,33.41,5.75,0.3,3.61,1.54
SUGAR & ALLIED INDUSTRIES,Noon Sugar Mills Limited,2026-07-18,NONS,103.5,102.79,103.5,100.04,157.1,70.02,1.7B,16.52M,3.3M,28.8K,20,4.44,39.15,4.55,0.81,1.93,0.18
REFINERY,National Refinery Limited,2026-07-18,NRL,385.5,396.56,406.6,384,477.45,224,31.71B,79.97M,26.31M,2.4M,32.91,0,108.68,2.33,0.53,2.68,0.01
CHEMICAL,Nimir Resins Limited,2026-07-18,NRSL,34.49,33.59,34.49,32.51,40.24,20.6,4.75B,141.32M,42.4M,17.72K,30,0,2.09,2.61,1.3,16.05,1.45
SYNTHETIC & RAYON,The National Silk & Rayon Mills Limited,2026-07-18,NSRM,272.2,272.21,272.21,247.46,272.21,84.01,4.23B,15.55M,777.66K,9.11K,5,0,6.79,4.51,2.64,19.44,0.23
TECHNOLOGY & COMMUNICATION,Octopus Digital Limited,2026-07-18,OCTOPUS,32.93,31.86,32.93,31.75,60.89,24.35,5.01B,157.26M,47.18M,148.64K,30,,,,,,
OIL & GAS EXPLORATION COMPANIES,Oil & Gas Development Company Limited,2026-07-18,OGDC,323.65,317.94,325.9,316,352,220.99,1.37T,4.3B,645.14M,5.03M,15,5.03,36.17,39.85,0.97,8.79,0.78
MODARABAS,OLP Modaraba,2026-07-18,OLPM,24.7,25,25,24.5,25.98,19,1.13B,45.38M,34.04M,11.92K,75,13.32,3.44,9.88,0.85,6.39,-1.79
MISCELLANEOUS,Olympia Mills Limited,2026-07-18,OML,104,107.58,107.72,93.08,107.72,25.8,1.29B,12M,1.2M,85.56K,10,,,,,,
MODARABAS,Orient Rental Mod,2026-07-18,ORM,10.65,10.36,10.71,10.28,16.79,9.2,777M,75M,26.25M,50.06K,35,,,,,,
PHARMACEUTICALS,Otsuka Pakistan Limited,2026-07-18,OTSU,410,401.51,425,399.99,447.94,254.95,4.86B,12.1M,3.02M,26.02K,25,0,28.78,8.39,4.52,13.95,1.82
CABLE & ELECTRICAL GOODS,Pak Elektron Limited,2026-07-18,PAEL,42,41.83,42.55,41.6,64.6,32.01,38.64B,923.65M,508.01M,6.93M,55,0,4.46,5.86,0.77,9.38,0.32
TECHNOLOGY & COMMUNICATION,Pak Datacom Limited,2026-07-18,PAKD,127,126.43,128,125.99,252,85.01,1.5B,11.86M,5.06M,6.41K,42.63,,,,,,
CHEMICAL,Pakistan Oxygen Limited,2026-07-18,PAKOXY,297,287.11,297.8,283,356.68,206,25.01B,87.12M,21.78M,1.64K,25,0,22.58,14.35,2.01,10.63,0.15
INSURANCE,Pak Qatar Family Takaful Limited,2026-07-18,PAKQATAR,22.35,21.77,22.35,21.52,29.4,15.24,5.02B,230.71M,80.75M,639.51K,35,,,,,,
TRANSPORT,Pakistan International Bulk Terminal,2026-07-18,PIBTL,16.85,16.5,16.88,16.45,22.97,9.33,29.47B,1.79B,803.74M,10.96M,45,0,1.18,14.81,1.68,13.99,7.89
TRANSPORT,Pakistan International Container,2026-07-18,PICT,53.9,51.41,53.9,50.81,59.75,23.65,5.61B,109.15M,21.83M,713.79K,20,0,-1.17,-1281.2,4.14,-43.8,2.14
MODARABAS,Popular Islamic Modaraba,2026-07-18,PIM,22.7,24.5,24.68,22,31.33,16.16,490M,20M,1M,2.84K,5,,,,,,
CEMENT,Pioneer Cement Limited,2026-07-18,PIOC,284.99,280.01,285.7,276.11,427.5,200.01,63.6B,227.15M,34.07M,524.17K,15,3.57,24.32,14.8,1.26,11.51,0.18
"PAPER, BOARD & PACKAGING",Packages Limited,2026-07-18,PKGS,790,795.92,798.18,786,855,610,71.14B,89.38M,17.88M,6.65K,20,2.09,-9.43,-0.43,1.08,-84.4,-3.57
SUGAR & ALLIED INDUSTRIES,The Premier Sugar Mills,2026-07-18,PMRS,542,529.82,542,505.01,835,260,1.99B,3.75M,387.66K,1.96K,10.34,0,-300.03,-3.27,0.45,-1.77,-0.12
VANASPATI & ALLIED INDUSTRIES,Punjab Oil Mills Limited,2026-07-18,POML,166,164.5,179.94,158.1,240.95,113.11,1.28B,7.76M,3.11M,4.48K,40,,,,,,
CEMENT,Power Cement Limited,2026-07-18,POWER,21.15,20.79,21.49,20.5,24.26,13.65,26.83B,1.29B,452.11M,1.06M,35.03,0,2.24,8.78,1.14,9.28,0.15
OIL & GAS EXPLORATION COMPANIES,Pakistan Petroleum Limited,2026-07-18,PPL,225,219.74,226.44,219,284.6,161.13,597.91B,2.72B,669.51M,4.18M,24.61,3.87,28.99,33.84,0.8,7.58,
"PAPER, BOARD & PACKAGING",Pakistan Paper Products Limited,2026-07-18,PPP,135,135.48,138.99,135,279,91,1.08B,8M,4M,5.99K,50,2.98,17.67,7.84,0.6,5.77,0.3
INSURANCE,Pak Qatar General Takaful Limited,2026-07-18,PQGTL,14.69,14.43,14.79,14.2,19.8,10.25,1.46B,101.11M,40.44M,187.18K,40,,,,,,
FOOD & PERSONAL CARE PRODUCTS,At-Tahur Limited,2026-07-18,PREMA,32.26,31.5,32.47,31.01,56.38,23,6.89B,218.64M,65.59M,873.7K,30,0,2.73,9.01,1.13,11.52,0.25
REFINERY,Pakistan Refinery Limited,2026-07-18,PRL,41.8,44.59,45.7,41.5,45.7,23.2,28.09B,630M,227.29M,21.18M,36.08,0,19.07,3.89,0.73,1.48,0.01
MISCELLANEOUS,Pakistan Services Limited,2026-07-18,PSEL,903.6,907.94,924.85,891,1635,799,29.53B,32.52M,30.82M,867.6,94.76,0,5.58,1.22,0.66,184.72,5.65
OIL & GAS MARKETING COMPANIES,Pakistan State Oil Company Limited,2026-07-18,PSO,354.11,347.64,354.69,347.03,506.75,320.11,163.21B,469.47M,234.74M,2.6M,50,2.88,92.73,1.35,0.56,3.75,0.03
SYNTHETIC & RAYON,Pakistan Synthetics Limited,2026-07-18,PSYL,153,154.78,156,146.01,158,52.26,21.47B,138.7M,6.93M,13.15K,5,0,3.38,3.07,4.27,45.74,1.19
AUTOMOBILE PARTS & ACCESSORIES,Panther Tyres Ltd.,2026-07-18,PTL,58,56.68,58.5,56,65.88,45.12,9.52B,168M,42M,2.28M,25,7.06,6.4,3.09,1.18,8.86,
TECHNOLOGY & COMMUNICATION,Quantum Data Technologies Limited,2026-07-18,QTECH,51.11,49.7,52.35,49.2,57.8,23.1,6.04B,121.58M,30.39M,3.06M,25,,,,,,
FOOD & PERSONAL CARE PRODUCTS,Quice Food Industries Limited,2026-07-18,QUICE,35.5,34.3,35.5,33.8,46.06,7.51,3.38B,98.46M,68.92M,858.51K,70,,,,,,
TEXTILE COMPOSITE,Redco Textiles Limited,2026-07-18,REDCO,32,31.55,34.64,31,40.4,14.9,1.56B,49.29M,2.46M,6.79K,5,,,,,,
TEXTILE COMPOSITE,Reliance Weaving Mills Limited,2026-07-18,REWM,165.11,166.7,177.44,165.11,244.05,96.02,5.14B,30.81M,10.78M,1.04K,35,,,,,,
FOOD & PERSONAL CARE PRODUCTS,Rafhan Maize Products Company Limited,2026-07-18,RMPL,9699,9248.79,9800,9200,13565.64,8500,85.43B,9.24M,461.82K,80,5,5.13,715.93,9.02,2.74,12.92,3.23
"PAPER, BOARD & PACKAGING",Roshan Packages Limited,2026-07-18,RPL,17.09,16.5,17.2,16.43,25.05,12,2.34B,141.9M,44.42M,840.28K,31.3,0,0.13,0.16,0.27,130.95,-36.4
SYNTHETIC & RAYON,Rupali Polyester Limited,2026-07-18,RUPL,31.7,30.94,31.7,30.1,42.79,23.11,1.05B,34.07M,10.22M,4.38K,30,0,-20.94,-21.91,0.19,-1.48,0.03
SUGAR & ALLIED INDUSTRIES,Sanghar Sugar Mills Limited,2026-07-18,SANSM,122.01,121.59,130,121.55,148.99,41,1.45B,11.95M,6.57M,128.8,55,0,15.39,3.07,0.45,7.9,0.08
TEXTILE COMPOSITE,Sapphire Textile Mills Limited,2026-07-18,SAPT,1445.01,1485.8,1445.01,1445.01,1606,1164,32.23B,21.69M,2.17M,53.4,10,0.67,387.04,5.77,0.4,3.84,0.25
CHEMICAL,Sardar Chemical Industries Limited,2026-07-18,SARC,115,107.26,115,105.13,120.32,46.68,643.56M,6M,2.7M,77.34K,45,,,,,,
SUGAR & ALLIED INDUSTRIES,Sindh Abadgars Sugar Mills Limited,2026-07-18,SASML,435.99,399.01,435.99,371,469.49,70.9,4.16B,10.43M,2.61M,469.8,25,0.5,6.09,1.12,1.55,65.56,2.43
AUTOMOBILE ASSEMBLER,Sazgar Engineering Works Limited,2026-07-18,SAZEW,2008,1982.65,2008,1980,2487,1151,119.84B,60.45M,21.16M,278.7K,35,3.53,303.75,12.89,3.37,6.53,0
FOOD & PERSONAL CARE PRODUCTS,Shield Corporation Limited,2026-07-18,SCL,750.08,750.07,750.08,750.07,1125,288,2.93B,3.9M,195K,434.4,5,0,-53.91,-8.05,9.44,-13.91,1.05
PHARMACEUTICALS,The Searle Company Limited,2026-07-18,SEARL,92.8,91.52,93.59,91.1,137.44,76.37,53.83B,588.22M,294.11M,1.98M,50,0,2.04,6.01,1.57,44.95,185.25
POWER GENERATION & DISTRIBUTION,Sitara Energy Limited,2026-07-18,SEL,31,30.17,31.92,30,45.56,10.61,576.01M,19.09M,10.5M,18.02K,55,,,,,,
TECHNOLOGY & COMMUNICATION,Select Technologies Limited,2026-07-18,SELECT,31,29.98,31.2,29.9,33.6,28.6,26.65B,888.89M,88.89M,4.02M,10,,,,,,
TEXTILE SPINNING,Service Industries Textiles Limited,2026-07-18,SERT,63.16,62.27,69,62.27,84.49,19.17,858.55M,13.79M,2.07M,214.82K,15,,,,,,
LEATHER & TANNERIES,Service GlobalFootwear Limited,2026-07-18,SGF,116.5,116.26,117.35,116,141.89,71.51,24B,206.47M,51.62M,282.12K,25,1.72,11.16,12.03,2.7,10.42,
POWER GENERATION & DISTRIBUTION,S.G. Power Limited,2026-07-18,SGPL,103,97.59,106,97.59,129.07,7.2,1.74B,17.83M,16.05M,2.24M,90,,,,,,
TEXTILE SPINNING,Shadman Cotton Mills Limited,2026-07-18,SHCM,44.05,50.61,50.61,44.05,96.58,30.52,892.6M,17.64M,1.76M,5.57K,10,,,,,,
TEXTILE SPINNING,Shadab Textile Mills Limited,2026-07-18,SHDT,57.8,57.11,61.11,56.55,81,36.46,1.3B,22.85M,8M,164.18K,35,,,,,,
MISCELLANEOUS,Shifa International Hospitals Limited,2026-07-18,SHFA,535,529.69,541,526.06,615.28,424.13,33.48B,63.21M,28.45M,30.71K,45,0.94,41.05,8.72,2.02,12.9,0.26
SUGAR & ALLIED INDUSTRIES,Shahmurad Sugar Mills Limited,2026-07-18,SHSML,390,385,390,385,549,326,8.13B,21.12M,7.39M,9.93K,35,5.19,41.33,4.41,0.63,9.32,0.86
CABLE & ELECTRICAL GOODS,Siemens (Pakistan) Engineering,2026-07-18,SIEM,1517.26,1533.99,1534,1517.26,1740,1335,12.65B,8.25M,412.35K,30.4,5,0,31.37,2.85,2.04,48.9,-2.52
MODARABAS,Sindh Modaraba,2026-07-18,SINDM,23.75,22.81,23.75,22.8,41.25,12,1.03B,45M,4.5M,16.86K,10,,,,,,
CHEMICAL,Sitara Chemical Industries Limited,2026-07-18,SITC,820.05,829.99,832.99,820.05,1060,516,17.79B,21.43M,6.43M,4.07K,30,1.33,65.36,4.3,0.89,12.7,0.76
TRANSPORT,Secure Logistics-Trax Group Limited,2026-07-18,SLGL,16.5,16.31,16.78,16.21,26.5,13,6.88B,421.79M,126.54M,2.94M,30,,,,,,
AUTOMOBILE PARTS & ACCESSORIES,Service Long March Tyres Limited,2026-07-18,SLM,24.48,24.17,24.59,24.09,26.25,21.95,188.4B,7.79B,779.48M,5.56M,10,,,,,,
CEMENT,Safe Mix Concrete Limited,2026-07-18,SMCPL,43.25,42.48,43.25,41,57.3,23.52,1.06B,25M,7.5M,23.68K,30,,,,,,
TEXTILE SPINNING,Sana Industries Limited,2026-07-18,SNAI,37,37.05,39,35.6,43.9,24.5,739.7M,19.96M,6.99M,465.6,35,0,6.54,5.84,1.04,5.66,-0.6
OIL & GAS MARKETING COMPANIES,Sui Northern Gas Pipelines Limited,2026-07-18,SNGP,110,107.49,110.98,106.5,142.6,83.2,68.17B,634.22M,253.69M,3.37M,40,2.57,22.94,1.17,0.86,3.86,-0.85
"PAPER, BOARD & PACKAGING",SPEL Limited,2026-07-18,SPEL,50.03,48.83,50.69,48.62,83.5,32.91,9.75B,199.74M,39.95M,1.16M,20,2.46,6.37,13,1.45,7.67,0.18
OIL & GAS MARKETING COMPANIES,Sitara Petroleum Service Limited,2026-07-18,SPSL,18.2,17.98,18.33,17.94,23.45,17.9,30.2B,1.68B,335.98M,5.8M,20,,,,,,
REAL ESTATE INVESTMENT TRUST,Signature Residency Reit,2026-07-18,SRR,16.3,16.26,16.4,16.23,21,15.26,536.58M,33M,13.2M,56.85K,40,,,,,,
LEATHER & TANNERIES,Service Industries Limited,2026-07-18,SRVI,2074.61,2055.26,2074.61,2020,2464,1130,96.57B,46.99M,23.49M,8.86K,50,0.85,223.93,6.65,3.69,6.25,0.09
OIL & GAS MARKETING COMPANIES,Sui Southern Gas Company Limited,2026-07-18,SSGC,29.31,28.93,29.49,28.77,46.23,19.02,25.48B,880.92M,336.86M,7.79M,38.24,1.17,-2.87,-0.65,1.94,10.95,88
VANASPATI & ALLIED INDUSTRIES,S.S.Oil Mills Limited,2026-07-18,SSOM,461.01,461.82,468,450,1179.75,351.1,2.61B,5.66M,1.4M,15.95K,24.69,,,,,,
GLASS & CERAMICS,Shabbir Tiles & Ceramics Limited,2026-07-18,STCL,11.2,11.22,11.45,11.15,19.4,8.55,2.69B,239.32M,131.63M,303.64K,55,0,-4.03,-8,1.54,-2.78,0.14
TEXTILE WEAVING,Shahtaj Textile Limited,2026-07-18,STJT,145.95,140.53,158.4,131.25,162,70,1.36B,9.66M,1.45M,418.8,15,3.91,27.72,4.42,0.55,5.07,0.48
TECHNOLOGY & COMMUNICATION,Supernet Technologies Limited,2026-07-18,STL,43.9,41.34,43.9,40.8,2231.81,40.8,4.45B,107.62M,43.05M,1.75M,40,,,,,,
TEXTILE COMPOSITE,Shams Textile Mills Limited,2026-07-18,STML,58.99,58.17,63.12,52.51,63.12,22.8,502.59M,8.64M,2.59M,18.39K,30,0,-6.99,-1.76,0.66,-8.32,0.62
APPAREL,Stylers International Limited,2026-07-18,STYLERS,52,52.31,53.56,50.2,61.12,36,25.57B,488.83M,24.44M,28.46K,5,2.87,2.28,5.99,1.88,22.98,
TEXTILE COMPOSITE,Suraj Cotton Mills Limited,2026-07-18,SURC,140,137,140,136.99,152.48,88,6.69B,48.81M,9.76M,3.96K,20,3.65,29.17,5.06,0.46,4.7,0.81
TECHNOLOGY & COMMUNICATION,Symmetry Group Limited,2026-07-18,SYM,11.46,11.19,11.59,11.01,17.04,9.01,3.19B,285.25M,156.89M,1.86M,55,,,,,,
TECHNOLOGY & COMMUNICATION,Systems Limited,2026-07-18,SYS,141.12,137.11,142.45,136.12,174.4,105.98,202.02B,1.47B,957.71M,1.4M,65,1.46,7.86,13.4,3.27,17.43,0.23
TEXTILE SPINNING,Shahzad Textile Mills Limited,2026-07-18,SZTM,104,100.51,109,98.1,127.25,36,1.81B,17.97M,1.8M,83.85K,10,,,,,,
TEXTILE SPINNING,Tata Textile Mills Limited,2026-07-18,TATM,133,128.73,133.56,127.22,311,82,7.21B,55.99M,11.2M,36.77K,20,,,,,,
SUGAR & ALLIED INDUSTRIES,Tariq Corporation Limited,2026-07-18,TCORP,22.23,22.89,22.99,22.21,31.87,15.62,1.52B,66.21M,23.17M,49.53K,35,0,0.85,0.7,0.4,26.85,-1.46
TECHNOLOGY & COMMUNICATION,Telecard Limited,2026-07-18,TELE,9.08,8.76,9.08,8.7,14.09,6.22,2.97B,338.62M,326M,7.67M,96.27,0,0.51,1.67,0.67,17.25,0.72
GLASS & CERAMICS,Tariq Glass Industries Limited,2026-07-18,TGL,195,189.92,195,188,291.5,128,32.7B,172.17M,68.87M,231.68K,40,3.69,24.49,13.38,1.33,7.76,0.25
CEMENT,Thatta Cement Company Limited,2026-07-18,THCCL,67,67.63,69.8,65.1,103.5,42.52,33.72B,498.59M,174.51M,6.48M,35,0,7.24,24.4,3.31,9.34,0.05
SUGAR & ALLIED INDUSTRIES,The Thal Industries Corporation Limited,2026-07-18,TICL,1038,981.39,1038,951.1,1270,371.99,14.74B,15.02M,226.46K,804.8,1.51,1.73,182.06,7.68,1.2,3.36,0.31
FOOD & PERSONAL CARE PRODUCTS,The Organic Meat Company Limited,2026-07-18,TOMCL,39.69,37.93,39.8,37.75,75.85,28.3,7.45B,196.34M,107.99M,2.23M,55,0,1.84,2.74,1.13,20.62,2.25
TEXTILE COMPOSITE,Towellers Limited,2026-07-18,TOWL,125.66,123.42,126.55,122,195.95,92.5,2.1B,17M,3.4M,8.08K,20,,,,,,
REAL ESTATE INVESTMENT TRUST,TPL REIT Fund I,2026-07-18,TPLRF1,10.2,10.09,10.5,10,18.39,7.5,18.52B,1.83B,1.38B,15.58M,75,,,,,,
