date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
2026-07-18,FZCM,250,250.14,259.98,250,408.84,185.52,7.5B,30M,3M,1.65K,10,0,3.02,0.1,0.15,82.9,40.86
2026-07-18,GADT,286.71,283.01,288.16,283,530,215,7.93B,28.03M,8.41M,8.54K,30,0,43.77,1.72,0.32,6.47,0.55
2026-07-18,GAL,584.8,572.23,584.8,568,633,291,32.62B,57M,22.8M,1.49M,40,2.65,117.24,12.52,1.7,2.62,0
2026-07-18,GATI,85.07,84.8,86.4,84.55,167.2,62.55,9.22B,108.73M,16.31M,11.72K,15,0,-10.67,-4.01,0.78,-7.95,-5.56
2026-07-18,GATM,27.99,27.02,28.18,26.8,40.7,16.5,20B,740.06M,185.01M,1.49M,25,0,2.72,1.18,0.39,9.95,0.86
2026-07-18,GCIL,36.64,36.37,37.4,36.13,40.6,23.81,20.75B,570.45M,228.18M,3.47M,40,0,5.27,33.37,,5.05,
2026-07-18,GCWL,16.55,16.24,16.55,16.01,25.15,11.75,4.06B,250.14M,111.05M,1.04M,44.39,,,,,,
2026-07-18,GDL,18.74,18.56,18.77,18.4,33,17.98,7.97B,429.2M,107.3M,985.37K,25,,,,,,
2026-07-18,GEMBCEM,12,12,14.36,11.75,14.5,9.64,1.2B,100M,25M,2.3K,25,,,,,,
2026-07-18,GEMMEL,27.2,24.73,27.2,27.2,39,19.1,4.8B,194.1M,19.41M,127.25,10,,,,,,
2026-07-18,GEMPACRA,36,39.62,36,36,49,22,2.95B,74.53M,7.45M,1,10,,,,,,
2026-07-18,GEMPAPL,11.75,11.75,11.75,11.75,19,9,235M,20M,15M,1.77K,75,,,,,,
2026-07-18,GFIL,31.05,30.81,32.44,30.8,35.18,11.1,1.01B,32.64M,3.26M,10.69K,10,,,,,,
2026-07-18,GGGL,8.96,8.83,9.19,8.77,14.47,6.7,2.12B,240M,120M,665.24K,50,0,0.54,4.51,0.72,16.48,0.78
2026-07-18,GGL,23.85,23.57,24.3,23.4,31.31,14.1,8.35B,354.12M,177.06M,2.03M,50,0,9.78,31.53,1.03,2.41,0.05
2026-07-18,GHGL,39.31,38.81,39.75,38.25,52.25,27.78,38.8B,999.71M,349.9M,220.72K,35,5.15,6.21,13.11,0.96,6.25,0.25
2026-07-18,GHNI,1144,1132.31,1159,1124,1285.15,590,48.25B,42.61M,14.91M,603.39K,35,1.54,162.33,11.84,2.62,3.78,0.02
2026-07-18,GIL,0,1000,0,0,0,0,0,0,0,0,0,0.19,15.14,0.25,0,115.63,-14.54
2026-07-18,GLAXO,359,357.75,360.98,355,459.94,293.09,113.93B,318.47M,63.69M,313.16K,20,4.36,33,15.6,3.14,9.54,0.18
2026-07-18,GOC,191,200.62,204.99,186,204.99,77,1.47B,7.35M,1.1M,48.26K,15,0.5,4.14,6.12,2.05,48.41,1.71
2026-07-18,GTYR,35.35,33.98,35.38,33.67,49.46,22.26,4.14B,121.93M,48.77M,4.61M,40,0,-6.34,-4.84,0.65,-5.36,0.58
2026-07-18,GVGL,55.45,53.5,55.95,53.05,75,43.65,8.02B,149.94M,29.38M,2.97K,19.59,5.61,6.64,15.54,1.59,8.05,
2026-07-18,GWLC,50.48,49.7,50.48,49.01,77.96,38.75,19.89B,400.27M,40.03M,150.45K,10,3.02,6.74,12.64,0.73,5.92,0.5
2026-07-18,HAEL,29.8,28.04,29.8,27.65,37.96,14.91,364.42M,13M,1.95M,25.8K,15,,,,,,
2026-07-18,HAFL,494.9,499.89,500,450,629.5,283.58,599.87M,1.2M,42.48K,113.6,3.54,,,,,,
2026-07-18,HALEON,762,759.56,765.99,755.02,1010,655,88.91B,117.05M,15.74M,45.12K,13.44,3.6,55.96,15.35,6.1,12.32,0.19
2026-07-18,HCAR,241.01,239.06,244.99,238.79,321,147.5,34.14B,142.8M,28.56M,766.11K,20,3.76,22.64,2.64,1.34,10.56,32.55
2026-07-18,HINO,428,429.46,434,423,634.5,264.69,10.65B,24.8M,2.55M,15.11K,10.28,2.54,21.82,4.92,1.76,19.68,0.27
2026-07-18,HINOON,985.68,980.13,986,969.99,1241,755.56,51.93B,52.98M,21.19M,26.67K,40,5.1,75.63,14.32,3.51,12.96,0.3
2026-07-18,HPL,4045,4029.43,4289,4005.01,4889.99,2925.66,38.86B,9.64M,964.48K,111,10,5.96,317.04,9.84,4.36,13.07,0.28
2026-07-18,HRPL,20.9,20.05,20.9,20,37,16.51,802M,40M,8M,74.67K,20,0,-3.09,-5.61,1.08,-6.5,0.29
2026-07-18,HTL,40.99,40.01,40.99,39.67,66.5,31.01,5.57B,139.2M,34.8M,654.07K,25,0,3.83,1.49,0.85,8.24,1.02
2026-07-18,HUBC,221,218.11,224.5,217.3,249.99,144,282.92B,1.3B,972.87M,3.43M,75,11.46,34.65,63.41,1.25,6.29,-5
2026-07-18,IBFL,306,298.98,310,289,397.32,176.55,92.84B,310.51M,15.53M,2.17K,5,0,-1.49,-0.44,1.62,-200.28,-18.18
2026-07-18,IBLHL,54.45,51.57,54.45,51.1,85.82,36,5.08B,98.53M,24.63M,159.24K,25,0,2.44,5.36,2.04,21.14,5.55
2026-07-18,ICCI,13.75,12.75,13.96,12.56,17.91,8.61,382.51M,30M,4.5M,30.78K,15,,,,,,
2026-07-18,ICL,140.16,138.99,141.85,138.82,176,81.1,13.9B,100M,45M,93.78K,45,2.16,13.74,4.34,1.27,10.12,0.39
2026-07-18,IDEAL,54.65,54.75,60.5,54.65,87.7,15.75,543.12M,9.92M,1.49M,14.22K,15,,,,,,
2026-07-18,IDRT,39.65,36.46,40.12,34.6,68.08,19,723.83M,19.85M,1.99M,25.37K,10,,,,,,
2026-07-18,ILP,103.15,100.13,103.75,99.3,110.5,67,140.35B,1.4B,280.34M,1.16M,20,3,8.3,6.45,2.3,12.07,0.2
2026-07-18,IMAGE,26.79,26.6,27.4,26.39,32.46,19,6.13B,230.37M,149.74M,742.36K,65,7.52,3.49,17.93,1.26,7.61,
2026-07-18,INIL,172,168.41,174.49,168.05,249,127.3,22.21B,131.88M,59.35M,162.13K,45,3.56,14.32,1.72,0.68,11.76,-3.78
2026-07-18,INKL,92.79,90.72,94.99,87,126,30.15,877.72M,9.68M,3.87M,2.05K,40,,,,,,
